name,chinese_rating,chinese_count,all_rating,all_count,lat,lng,zip,neighborhood,borough,city,state,is_flushing,place_id
CHELI FLUSHING,4.711246201,658,4.7,1508,40.7594853,-73.8326623,11354,Flushing,Queens,,NY,TRUE,ChIJYVvVYJ5hwokR-KpQ6FHfdG4
Nan Xiang Xiao Long Bao,4.710323575,649,4.7,2494,40.7482492,-73.9864798,10001,,Manhattan,New York,NY,FALSE,ChIJ5bXhW_pZwokRS1dCnTWL3WA
Jin Mei Dumpling,4.709677419,93,4.7,951,40.7129395,-73.9965684,10002,,Manhattan,New York,NY,FALSE,ChIJb_SHcSZawokRtdpS_MICEis
Xi'an Famous Foods 西安名吃 | Williamsburg,4.7,20,4.7,181,40.7174201,-73.9551546,11211,Williamsburg,Brooklyn,,NY,FALSE,ChIJ78o6AfZZwokRO0jaaWrctPY
Hunan Noodle,4.690807799,359,4.7,632,40.7608752,-73.8332365,11354,Flushing,Queens,,NY,TRUE,ChIJy_9PnVphwokRto0GMT_5mH8
YongChuan,4.677777778,180,4.7,383,40.7182555,-73.9852297,10002,,Manhattan,New York,NY,FALSE,ChIJvbUxn0lZwokRJVNddw78BtY
Carol's Bun,4.673076923,52,4.7,226,40.7137997,-73.9914345,10002,,Manhattan,New York,NY,FALSE,ChIJbb-1BilawokRU_jdJ4pt7a8
Xi'an Famous Foods 西安名吃 | Union Square,4.666666667,30,4.7,194,40.7337268,-73.9896693,10003,,Manhattan,New York,NY,FALSE,ChIJA6FXDABZwokRGCh6a0uJJvo
Yi Ji Shi Mo,4.642857143,140,4.7,560,40.7181923,-73.9957473,10013,,Manhattan,New York,NY,FALSE,ChIJb7sfoNNZwokR1Zu1zyYbu5I
The Best Sichuan 一品成都39,4.628450106,471,4.7,3249,40.7527574,-73.9845295,10018,,Manhattan,New York,NY,FALSE,ChIJSzY_qqtZwokRiLyLL2_upv0
Oh Dumplings,4.6,20,4.7,234,40.731853,-73.9583243,11222,Greenpoint,Brooklyn,,NY,FALSE,ChIJa51eLo1ZwokR2f0GKDB7Z_w
Song Dumpling Cafe,4.555555556,18,4.7,284,40.7102439,-73.8507099,11375,Forest Hills,Queens,,NY,FALSE,ChIJU5e97phfwokReFf64PoVbc4
Chef Guo - 小国宴,4.547169811,53,4.7,136,40.7563814,-73.971662,10022,,Manhattan,New York,NY,FALSE,ChIJE3SO9C5ZwokRrA04gkUVIyQ
Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei,4.530120482,83,4.7,452,40.7138354,-73.9941403,10002,,Manhattan,New York,NY,FALSE,ChIJq3ALmyhawokR_HZZ8u-kUK0
Maya Congee Cafe - Fulton St,3.8,10,4.7,111,40.6824839,-73.9614113,11238,Clinton Hill,Brooklyn,,NY,FALSE,ChIJSUWZktRbwokRsBUNu6YAh84
Chun Vegetarian,4.909090909,11,4.6,135,40.6788289,-73.9498688,11216,Bedford-Stuyvesant,Brooklyn,,NY,FALSE,ChIJQ6QrOjBbwokRBfiPeEtUcjw
Aves Thai & Asian Fusion restaurant,4.897435897,39,4.6,185,40.7862818,-73.9726693,10024,,Manhattan,New York,NY,FALSE,ChIJXY3uKgBZwokRsm8XWNg-GhU
Loong Noodles,4.891891892,37,4.6,116,40.7287947,-73.9886152,10003,,Manhattan,New York,NY,FALSE,ChIJES0nCgBZwokRVJ1R__z_cX0
Baohub,4.863636364,22,4.6,238,40.7322825,-73.982116,10003,,Manhattan,New York,NY,FALSE,ChIJhZ6v21RZwokR5AoxSOxt46Y
Indika House,4.857142857,7,4.6,383,40.6971935,-73.9353594,11206,Bushwick,Brooklyn,,NY,FALSE,ChIJG7tkjTNdwokRdYbeHbBwJFc
Hong Kong Cafe,4.857142857,14,4.6,210,40.687199,-73.9566699,11238,Bedford-Stuyvesant,Brooklyn,,NY,FALSE,ChIJCwFdf5ZbwokRY3enMWlwjyA
幸烩 Yao’s Kitchen,4.85,20,4.6,118,40.6289037,-74.1142464,10310,West Brighton,Staten Island,,NY,FALSE,ChIJ9ZRPD9pPwokRcfWDzoxcfZ8
OK Canaan Taiwanese Gourmet 台灣好滋味,4.828282828,99,4.6,239,40.7520921,-73.8268011,11355,Flushing,Queens,,NY,TRUE,ChIJX_-ydU5hwokRDHgVEshJ2kw
Wing Cheong,4.8,5,4.6,349,40.6803509,-73.9455406,11216,Bedford-Stuyvesant,Brooklyn,,NY,FALSE,ChIJ7WyyfIVbwokR4jvvnC7LPkw
Yeh’s Bao,4.8,55,4.6,210,40.7084064,-74.0146609,10006,,Manhattan,New York,NY,FALSE,ChIJPwLeYgBbwokRu5nXLxOj3XY
Blue Peak Villa 山水庄,4.8,55,4.6,129,40.7226136,-73.9885239,10002,,Manhattan,New York,NY,FALSE,ChIJMY4T41xZwokRVt6hgnezadg
Xi'an Famous Foods 西安名吃 | Woodside,4.791666667,24,4.6,185,40.7509377,-73.9065959,11377,Woodside,Queens,,NY,FALSE,ChIJp1-F1xtfwokRlXVAPeZ1BmM
Hot Peppers LIC,4.766666667,30,4.6,251,40.7481037,-73.9401752,11101,Long Island City,Queens,,NY,FALSE,ChIJBWAs9CJZwokRCpTEDldPYtI
Sweet Bamboo Chinese Food | Elmhurst,4.75,12,4.6,141,40.7401977,-73.8746336,11373,Elmhurst,Queens,,NY,FALSE,ChIJFzSW4c9fwokRUN510xVlg0Q
Noodlecraft,4.727272727,55,4.6,376,40.7446413,-73.9518949,11101,Long Island City,Queens,,NY,FALSE,ChIJp4n-XqhZwokR6j0k33BRQHA
"Nan Xiang Express - Upper West Side, NY",4.722222222,36,4.6,165,40.802587,-73.9681978,10025,,Manhattan,New York,NY,FALSE,ChIJ94yTZoD3wokRmoVuEibMjDs
King's Kitchen,4.721678322,715,4.6,1448,40.6039672,-73.9968749,11214,Bensonhurst,Brooklyn,,NY,FALSE,ChIJqdtPMQ9FwokRZFp_PTOW6E8
Chef Tan,4.70625,160,4.6,440,40.7288763,-73.9880313,10003,,Manhattan,New York,NY,FALSE,ChIJIes9lZ1ZwokRxV3hRFFVCsY
Liuyishou Hot Pot,4.7,710,4.6,1482,40.7607682,-73.8276729,11354,Flushing,Queens,,NY,TRUE,ChIJ62AfMHthwokRSGIcc5pKSDQ
Lao Chengdu Spicy Food,4.699669967,303,4.6,529,40.7603491,-73.8325185,11354,Flushing,Queens,,NY,TRUE,ChIJLVgCVQ5gwokRHdZEXktz5lI
Steam,4.698113208,53,4.6,486,40.7355572,-73.9977961,10011,,Manhattan,New York,NY,FALSE,ChIJJYRLYrtZwokRuRmuvnMPaYE
Ooodles Noodle House 寶島美食 Taiwanese Eats,4.696428571,56,4.6,188,40.7608242,-73.7673902,11361,Bayside,Queens,,NY,TRUE,ChIJr_Aqzm9hwokRsgXzIikOHDA
King’s Kitchen,4.675531915,188,4.6,388,40.7158642,-73.9981757,10013,,Manhattan,New York,NY,FALSE,ChIJGfoUDABbwokRNPPXDDdtwnc
TAI ER SICHUAN CUISINE 太二酸菜鱼 (FLUSHING),4.669144981,538,4.6,1063,40.7602271,-73.8334674,11354,Flushing,Queens,,NY,TRUE,ChIJA9JW6RthwokR97B8p0lD0fI
Sun Hing Lung,4.666666667,57,4.6,336,40.712743,-73.995075,10002,,Manhattan,New York,NY,FALSE,ChIJGeaRAyZawokRbvxqEiLDw8g
Dim Sum Palace,4.661290323,124,4.6,943,40.7258783,-73.989884,10003,,Manhattan,New York,NY,FALSE,ChIJQ-rGHbtZwokRZzBzywlf7ak
Coco Hotpot 皇椰鸡,4.657777778,225,4.6,436,40.7602126,-73.8330397,11354,Flushing,Queens,,NY,TRUE,ChIJdyZGVD1hwokRsoq0OzmkTNM
MARATHON CAFE,4.653846154,78,4.6,217,40.7669944,-73.7363623,11362,Little Neck,Queens,,NY,TRUE,ChIJA_pNZGiJwokRsoFXUf5gz5U
Spicy Moon East Village,4.636363636,55,4.6,950,40.7266901,-73.9872499,10003,,Manhattan,New York,NY,FALSE,ChIJ7x3Pe11ZwokRLpfe6va9dqs
Chow House,4.636363636,209,4.6,1059,40.7291204,-74.0007616,10012,,Manhattan,New York,NY,FALSE,ChIJ8z3tH5JZwokRU1hSLFhRFQA
Hey Yuet 喜粤,4.633333333,120,4.6,586,40.747137,-73.996365,10001,,Manhattan,New York,NY,FALSE,ChIJYcwEztJZwokRR-uTBjwHrSs
North Dumplings Essex,4.625,72,4.6,943,40.7154636,-73.9900579,10002,,Manhattan,New York,NY,FALSE,ChIJib907ylawokRR9VRduNlws0
West Rice Roll King 西关肠粉王,4.609195402,87,4.6,376,40.7169914,-73.9947663,10002,,Manhattan,New York,NY,FALSE,ChIJv8ppS0dbwokRrn2vYIST7U4
Beijing Dumpling House,4.59375,32,4.6,769,40.7039761,-73.809091,11435,Jamaica,Queens,,NY,FALSE,ChIJ9Ucf4sRgwokR52N_WmOuClM
Dim Sum Palace,4.560283688,141,4.6,820,40.7094126,-74.0067628,10038,,Manhattan,New York,NY,FALSE,ChIJO4Rc0HZbwokRzNWaYptrYVw
HALAL Xpress Asian Fusion,4.56,25,4.6,607,40.6129502,-73.9966727,11214,Bensonhurst,Brooklyn,,NY,FALSE,ChIJ5X3BOX1FwokRw9sX4eBGIKw
Chongqing Lao Zao 重慶老灶,4.558238636,704,4.6,1709,40.7606738,-73.8330235,11354,Flushing,Queens,,NY,TRUE,ChIJu4mR1fFhwokR94Uup8tbWZE
Sweet Bamboo Chinese Food | Sutphin,4.555555556,9,4.6,373,40.6931053,-73.7996964,11435,Jamaica,Queens,,NY,FALSE,ChIJE1P6rSphwokR-5WoT568qEQ
Mama Lee,4.548076923,104,4.6,302,40.7554009,-73.7675955,11364,Bayside,Queens,,NY,TRUE,ChIJ1XMARuZhwokRBRvUfvQg-5U
Taiwan Bear House,4.54676259,139,4.6,438,40.7147104,-73.9978094,10013,,Manhattan,New York,NY,FALSE,ChIJlwQhLilbwokR24kEIHvpD_g
Luanne's Wild Ginger Fort Greene,4.545454545,11,4.6,249,40.689625,-73.9697885,11205,Clinton Hill,Brooklyn,,NY,FALSE,ChIJqw817blbwokRcIoXi_PEYqQ
Hot Space,4.544303797,237,4.6,518,40.7594624,-73.8320321,11354,Flushing,Queens,,NY,TRUE,ChIJ0U-UaQ5gwokR-FAONv4joL4
Shu Jiao Fu Zhou,4.544303797,395,4.6,2851,40.7174109,-73.9920876,10002,,Manhattan,New York,NY,FALSE,ChIJ3au6oIdZwokRRpuRY9nbgik
CHILI,4.532467532,231,4.6,1311,40.7501259,-73.9820676,10016,,Manhattan,New York,NY,FALSE,ChIJJS3mqONZwokR9KlP3H_7MNg
Cheong Fun Cart,4.507936508,63,4.6,297,40.7176885,-73.9962285,10013,,Manhattan,New York,NY,FALSE,ChIJO5vUIYhZwokRhgBPxu526DI
Bodhi Kosher Vegetarian Restaurant,4.491803279,122,4.6,2183,40.7163863,-73.9992785,10013,,Manhattan,New York,NY,FALSE,ChIJ9zpnPidawokRdhxyso6KXKw
许厨 Xu Chu,4.450980392,51,4.6,125,40.7588727,-73.8327834,11354,Flushing,Queens,,NY,TRUE,ChIJP00QLTZhwokRhnz6J3_ruZo
Noodle Lane,4.380952381,21,4.6,231,40.6701531,-73.9791274,11215,Park Slope,Brooklyn,,NY,FALSE,ChIJwwTn2ftbwokRNOluIoXdPNE
Xi'an Famous Foods 西安名吃 | Greenpoint,4.380952381,42,4.6,694,40.7243577,-73.9509145,11222,Greenpoint,Brooklyn,,NY,FALSE,ChIJ2Z-WS0RZwokR20u1CCdFKe8
Potluck Club,4.330827068,133,4.6,802,40.719602,-73.9935919,10002,,Manhattan,New York,NY,FALSE,ChIJ7yN3d6tZwokRATR9U3lAqLg
Super Taste,4.324324324,148,4.6,1499,40.7150662,-73.9933358,10002,,Manhattan,New York,NY,FALSE,ChIJoR3RZyhawokRwR91d6hJvvY
Emperor Dumpling,4.32,50,4.6,938,40.7461489,-73.9902178,10001,,Manhattan,New York,NY,FALSE,ChIJSa42lf9ZwokRINYCJrd1XeU
P.F. Chang's,4.24137931,29,4.6,1574,40.7343186,-73.9922935,10003,,Manhattan,New York,NY,FALSE,ChIJo38KVJhZwokRE2rgx66zurQ
Baodega 小杨生煎,4.141104294,163,4.6,1524,40.7401851,-73.9917492,10011,,Manhattan,New York,NY,FALSE,ChIJyyYAdGhZwokRyaCxKMa04Rc
New Hop Shing Kitchen,5,5,4.5,147,40.6673665,-73.8991767,11207,East New York,Brooklyn,,NY,FALSE,ChIJQ3AeE1dcwokRNksDqJhGzhQ
Sunrise East Chinese Cuisine,5,5,4.5,126,40.7109547,-73.949322,11211,Southside,Brooklyn,,NY,FALSE,ChIJ_ZJmaXdZwokRFeUpME0A4Sk
El Pabellon De Oro,5,5,4.5,1022,40.828662,-73.8799894,10472,East Bronx,The Bronx,,NY,FALSE,ChIJp6HMifr0wokRB-50X94O4lI
Di Di,5,6,4.5,190,40.6282032,-73.9473733,11210,Midwood,Brooklyn,,NY,FALSE,ChIJrTj4iK1EwokRZhwtPsgC0QQ
Wei’s - Fort Greene,5,10,4.5,123,40.6830634,-73.9656912,11238,Clinton Hill,Brooklyn,,NY,FALSE,ChIJ-xGvV_xbwokRgHfFrsrjNPc
Nuevo Jardín de China,4.904761905,21,4.5,529,40.7616504,-73.9242308,11106,Astoria,Queens,,NY,FALSE,ChIJQVZgVTdfwokRoRpskYySlGw
Taste of China,4.9,20,4.5,156,40.5645648,-74.1278465,10306,Richmond,Staten Island,,NY,FALSE,ChIJJTW1t-xLwokR1S7ZGru3C1g
Chen's Garden,4.888888889,9,4.5,137,40.7566771,-73.8732165,11372,Flushing,Queens,,NY,FALSE,ChIJEWvzTLxfwokRbvOLHqsF3bw
Jardin De China,4.875,8,4.5,1347,40.7506405,-73.8701136,11368,Corona,Queens,,NY,TRUE,ChIJ43rlGLlfwokRkwb5mrdsl00
Tin Wong Restaurant,4.875,24,4.5,142,40.7174369,-73.9961027,10013,,Manhattan,New York,NY,FALSE,ChIJm6POfm1ZwokRh5OBjmmP31Q
LHASA LIANG FEN,4.846153846,26,4.5,403,40.7439683,-73.8847536,11373,Elmhurst,Queens,,NY,FALSE,ChIJ-UXFfqtfwokRtBVHHzZc1PA
Dragon Garden,4.833333333,12,4.5,173,40.610222,-73.999512,11214,Bensonhurst,Brooklyn,,NY,FALSE,ChIJm4t36xFFwokRoxB9rUjretc
Vegetarian palate,4.75,8,4.5,186,40.679612,-73.9638447,11238,Crown Heights,Brooklyn,,NY,FALSE,ChIJ35-URRJbwokRLkYrGy1FnWY
SIU KITCHEN (Hotpot),4.71641791,67,4.5,156,40.5715399,-74.1113314,10306,New Dorp,Staten Island,,NY,FALSE,ChIJJ6K47-tJwokRKWJrdzP9Uoc
Hunan Tapas,4.705263158,95,4.5,190,40.7519903,-73.9391257,11101,Long Island City,Queens,,NY,FALSE,ChIJxx9fKABZwokRHf-Weduzrqc
